sku,product_url,image_path,width,height,file_size_kb,status,issues
FM-212050093,https://naturalbe.com.co/producto/alimento-en-polvo-nutren-senior-nestle-sin-sabor-lata-x-740-gr.html,cache_images\normalized\FM-212050093.jpg,1200,630,26.0,ok,
NUTRA-BIPRO_COMPLEX,https://naturalbe.com.co/producto/bipro-complex.html,cache_images\normalized\NUTRA-BIPRO_COMPLEX.jpg,1200,630,26.0,ok,
FM-229250235,https://naturalbe.com.co/producto/nutren-glytrol-polvo-vainilla-x-380-gr.html,cache_images\normalized\FM-229250235.jpg,1200,630,26.0,ok,
FM-212050077,https://naturalbe.com.co/producto/alimento-en-polvo-nutren-senior-nestle-sin-sabor-lata-x-370-gr.html,cache_images\normalized\FM-212050077.jpg,1200,630,26.0,ok,
728,https://naturalbe.com.co/producto/calcio-essential-magnesio-fosforo-vainilla.html,cache_images\normalized\728.jpg,1200,630,26.0,ok,
TONA-CAB-415ML-415,https://naturalbe.com.co/producto/acondicionador-tio-nacho-aclarante-manzanilla-415ml.html,cache_images\normalized\TONA-CAB-415ML-415.jpg,1200,630,26.0,ok,
NUTRA-BIPRO_CLASSIC_VAINILLA_3LB,https://naturalbe.com.co/producto/bipro-classic-vainilla-3lb.html,cache_images\normalized\NUTRA-BIPRO_CLASSIC_VAINILLA_3LB.jpg,1200,630,26.0,ok,
FM-1026565,https://naturalbe.com.co/producto/glucerna-vainilla-polvo-x-400-gr.html,cache_images\normalized\FM-1026565.jpg,1200,630,26.0,ok,
FM-212050069,https://naturalbe.com.co/producto/alimento-en-polvo-nutren-senior-nestle-sabor-a-vainilla-lata-x-370-gr.html,cache_images\normalized\FM-212050069.jpg,1200,630,26.0,ok,
FM-1017009,https://naturalbe.com.co/producto/ensure-vainilla-polvo-x-400-gr.html,cache_images\normalized\FM-1017009.jpg,1200,630,26.0,ok,
SATI-MAGCIT-60,https://naturalbe.com.co/producto/magnesio-citrato-satibo-60-capsulas.html,cache_images\normalized\SATI-MAGCIT-60.jpg,1200,630,26.0,ok,
FM-235100241,https://naturalbe.com.co/producto/pediasure-10-sabor-vainilla-lata-x-850-gr.html,cache_images\normalized\FM-235100241.jpg,1200,630,26.0,ok,
VITA-DIG-18,https://naturalbe.com.co/producto/vinagre-alcachofa.html,cache_images\normalized\VITA-DIG-18.jpg,1200,630,26.0,ok,
TONA-CAB-415ML-415-02,https://naturalbe.com.co/producto/acondicionador-tio-nacho-anti-dano-aloe-vera-415ml.html,cache_images\normalized\TONA-CAB-415ML-415-02.jpg,1200,630,26.0,ok,
NB-CAB-60ML-60,https://naturalbe.com.co/producto/minoxidil.html,cache_images\normalized\NB-CAB-60ML-60.jpg,1200,630,26.0,ok,
FM-1050596,https://naturalbe.com.co/producto/ensure-advance-vainilla-con-proteina-hmb-polvo-x-850-gr.html,cache_images\normalized\FM-1050596.jpg,1200,630,26.0,ok,
TONA-CAB-112,https://naturalbe.com.co/producto/shampoo-tio-nacho-aclarante-manzanilla-1l.html,cache_images\normalized\TONA-CAB-112.jpg,1200,630,26.0,ok,
SATI-MAGPOT-60,https://naturalbe.com.co/producto/magnesio-potasio-satibo-60-capsulas.html,cache_images\normalized\SATI-MAGPOT-60.jpg,1200,630,26.0,ok,
734,https://naturalbe.com.co/producto/calcio-magnesio-fosforo-essential-vitamins.html,cache_images\normalized\734.jpg,1200,630,26.0,ok,
MN-CORALCALCIUM-60,https://naturalbe.com.co/producto/coral-calcium-1000mg-vitamin-d-60-softgels.html,cache_images\normalized\MN-CORALCALCIUM-60.jpg,1200,630,26.0,ok,
NUTRA-BIPRO_CLASSIC_COOKIES_CREAM_3LB,https://naturalbe.com.co/producto/bipro-classic-cookies-cream-3lb.html,cache_images\normalized\NUTRA-BIPRO_CLASSIC_COOKIES_CREAM_3LB.jpg,1200,630,26.0,ok,
TQ-DIG-32,https://naturalbe.com.co/producto/bonfiest-plus-32-sobres.html,cache_images\normalized\TQ-DIG-32.jpg,1200,630,26.0,ok,
FM-106461745,https://naturalbe.com.co/producto/ensure-advance-fresa-con-proteina-hmb-polvo-x-400-gr.html,cache_images\normalized\FM-106461745.jpg,1200,630,26.0,ok,
756,https://naturalbe.com.co/producto/am-pm-30-fiber-30-herbs-30-30-tabletas-healthy-america.html,cache_images\normalized\756.jpg,1200,630,26.0,ok,
731,https://naturalbe.com.co/producto/citrato-magnesio-mgpro-polvo.html,cache_images\normalized\731.jpg,1200,630,26.0,ok,
VITA-DIG-17,https://naturalbe.com.co/producto/vinagre-manzana.html,cache_images\normalized\VITA-DIG-17.jpg,1200,630,26.0,ok,
NUTRA-BIPRO_CLASSIC_CHOCOLATE_2LB,https://naturalbe.com.co/producto/bipro-classic-chocolate-2lb.html,cache_images\normalized\NUTRA-BIPRO_CLASSIC_CHOCOLATE_2LB.jpg,1200,630,26.0,ok,
FM-206650228,https://naturalbe.com.co/producto/ensure-advance-chocolate-con-proteina-hmb-polvo-x-400-gr.html,cache_images\normalized\FM-206650228.jpg,1200,630,26.0,ok,
TQ-SKN-30ML-30,https://naturalbe.com.co/producto/clotrimazol-mk-solucion-topica-30ml.html,cache_images\normalized\TQ-SKN-30ML-30.jpg,1200,630,26.0,ok,
TQ-SKN-60G-60,https://naturalbe.com.co/producto/blankisima-crema-60g.html,cache_images\normalized\TQ-SKN-60G-60.jpg,1200,630,26.0,ok,
FUNAT-CITRATO-DE-MAGNESIO-EN-POLVO-240GR,https://naturalbe.com.co/producto/citrato-de-magnesio-en-polvo-240gr.html,cache_images\normalized\FUNAT-CITRATO-DE-MAGNESIO-EN-POLVO-240GR.jpg,1200,630,26.0,ok,
736,https://naturalbe.com.co/producto/citrato-magnesio-essential-vitamins.html,cache_images\normalized\736.jpg,1200,630,26.0,ok,
751,https://naturalbe.com.co/producto/fibaxil-120-capsulas.html,cache_images\normalized\751.jpg,1200,630,26.0,ok,
NUTRA-BIPRO_CLASSIC_CAPUCCINO_3LB,https://naturalbe.com.co/producto/bipro-classic-capuccino-3lb.html,cache_images\normalized\NUTRA-BIPRO_CLASSIC_CAPUCCINO_3LB.jpg,1200,630,26.0,ok,
FM-224700233,https://naturalbe.com.co/producto/pediasure-peptigro-fresa-lata-x-400-gr.html,cache_images\normalized\FM-224700233.jpg,1200,630,26.0,ok,
BOTA-MAG-90,https://naturalbe.com.co/producto/citrato-de-magnesio-botanitas-90-caps.html,cache_images\normalized\BOTA-MAG-90.jpg,1200,630,26.0,ok,
TONA-CAB-415ML-415-04,https://naturalbe.com.co/producto/acondicionador-tio-nacho-anti-canas-henna-415ml.html,cache_images\normalized\TONA-CAB-415ML-415-04.jpg,1200,630,26.0,ok,
TONA-CAB-200ML-200,https://naturalbe.com.co/producto/shampoo-tio-nacho-engrosador-jalea-real-200ml.html,cache_images\normalized\TONA-CAB-200ML-200.jpg,1200,630,26.0,ok,
FUNAT-BE-PURE-PROTEIN-1LB,https://naturalbe.com.co/producto/be-pure-protein-1lb.html,cache_images\normalized\FUNAT-BE-PURE-PROTEIN-1LB.jpg,1200,630,26.0,ok,
