sku,product_url,image_path,width,height,file_size_kb,status,issues
TONA-CAB-415ML-415-05,https://naturalbe.com.co/producto/acondicionador-tio-nacho-proteccion-y-fuerza-415ml.html,cache_images_v6\normalized\TONA-CAB-415ML-415-05.jpg,384,384,17.8,review,small_file;low_width;low_height
TONA-CAB-415ML-415-03,https://naturalbe.com.co/producto/acondicionador-tio-nacho-anti-edad-jalea-real-415ml.html,cache_images_v6\normalized\TONA-CAB-415ML-415-03.jpg,384,384,17.2,review,small_file;low_width;low_height
TONA-CAB-415ML-415-06,https://naturalbe.com.co/producto/acondicionador-tio-nacho-engrosador-415ml.html,cache_images_v6\normalized\TONA-CAB-415ML-415-06.jpg,384,384,18.2,review,small_file;low_width;low_height
TONA-CAB-415ML-415-04,https://naturalbe.com.co/producto/acondicionador-tio-nacho-anti-canas-henna-415ml.html,cache_images_v6\normalized\TONA-CAB-415ML-415-04.jpg,384,384,18.5,review,small_file;low_width;low_height
TONA-CAB-415ML-415,https://naturalbe.com.co/producto/acondicionador-tio-nacho-aclarante-manzanilla-415ml.html,cache_images_v6\normalized\TONA-CAB-415ML-415.jpg,384,384,17.6,review,small_file;low_width;low_height
TONA-CAB-415ML-415-02,https://naturalbe.com.co/producto/acondicionador-tio-nacho-anti-dano-aloe-vera-415ml.html,cache_images_v6\normalized\TONA-CAB-415ML-415-02.jpg,384,384,16.9,review,small_file;low_width;low_height
TONA-CAB-415ML-415-07,https://naturalbe.com.co/producto/acondicionador-tio-nacho-ultra-hidratante-coco-415ml.html,cache_images_v6\normalized\TONA-CAB-415ML-415-07.jpg,384,384,17.7,review,small_file;low_width;low_height
TQ-INT-30G-30,https://naturalbe.com.co/producto/benzirin-rosa-crema-vaginal-30g.html,cache_images_v6\normalized\TQ-INT-30G-30.jpg,500,500,21.6,review,small_file;low_width;low_height
TQ-ANTIS-23,https://naturalbe.com.co/producto/alcohol-70-mk-galon-37l.html,cache_images_v6\normalized\TQ-ANTIS-23.jpg,500,500,19.6,review,small_file;low_width;low_height
TQ-SEN-30,https://naturalbe.com.co/producto/content-medical-l-30-unidades.html,cache_images_v6\normalized\TQ-SEN-30.jpg,500,500,32.6,review,low_width;low_height
TONA-CAB-415ML-415-08,https://naturalbe.com.co/producto/shampoo-tio-nacho-aclarante-natural-415ml.html,cache_images_v6\normalized\TONA-CAB-415ML-415-08.jpg,384,384,17.9,review,small_file;low_width;low_height
NB-CAB-60ML-60,https://naturalbe.com.co/producto/minoxidil.html,cache_images_v6\normalized\NB-CAB-60ML-60.jpg,840,840,85.7,review,low_width
TQ-SKN-60G-60,https://naturalbe.com.co/producto/blankisima-crema-60g.html,cache_images_v6\normalized\TQ-SKN-60G-60.jpg,500,500,23.7,review,small_file;low_width;low_height
TQ-SKN-30ML-30,https://naturalbe.com.co/producto/clotrimazol-mk-solucion-topica-30ml.html,cache_images_v6\normalized\TQ-SKN-30ML-30.jpg,500,500,23.7,review,small_file;low_width;low_height
TQ-SKN-120ML-120,https://naturalbe.com.co/producto/acid-ness-mk-120ml.html,cache_images_v6\normalized\TQ-SKN-120ML-120.jpg,500,500,21.4,review,small_file;low_width;low_height
TONA-CAB-112,https://naturalbe.com.co/producto/shampoo-tio-nacho-aclarante-manzanilla-1l.html,cache_images_v6\normalized\TONA-CAB-112.jpg,384,384,17.1,review,small_file;low_width;low_height
TQ-SKN-60ML-60,https://naturalbe.com.co/producto/acid-ness-mk-60ml.html,cache_images_v6\normalized\TQ-SKN-60ML-60.jpg,500,500,23.8,review,small_file;low_width;low_height
TQ-DIG-32,https://naturalbe.com.co/producto/bonfiest-plus-32-sobres.html,cache_images_v6\normalized\TQ-DIG-32.jpg,500,500,32.0,review,low_width;low_height
TONA-CAB-200ML-200,https://naturalbe.com.co/producto/shampoo-tio-nacho-engrosador-jalea-real-200ml.html,cache_images_v6\normalized\TONA-CAB-200ML-200.jpg,384,384,30.1,review,low_width;low_height
751,https://naturalbe.com.co/producto/fibaxil-120-capsulas.html,cache_images_v6\normalized\751.jpg,995,1490,67.4,review,low_width
756,https://naturalbe.com.co/producto/am-pm-30-fiber-30-herbs-30-30-tabletas-healthy-america.html,cache_images_v6\normalized\756.jpg,995,1490,89.9,review,low_width
VITA-DIG-18,https://naturalbe.com.co/producto/vinagre-alcachofa.html,cache_images_v6\normalized\VITA-DIG-18.jpg,1080,1350,198.3,ok,
FUNAT-CITRATO-DE-MAGNESIO-EN-POLVO-240GR,https://naturalbe.com.co/producto/citrato-de-magnesio-en-polvo-240gr.html,cache_images_v6\normalized\FUNAT-CITRATO-DE-MAGNESIO-EN-POLVO-240GR.jpg,1200,1200,79.7,ok,
VITA-DIG-17,https://naturalbe.com.co/producto/vinagre-manzana.html,cache_images_v6\normalized\VITA-DIG-17.jpg,1080,1350,158.9,ok,
734,https://naturalbe.com.co/producto/calcio-magnesio-fosforo-essential-vitamins.html,cache_images_v6\normalized\734.jpg,1414,2000,89.1,ok,
736,https://naturalbe.com.co/producto/citrato-magnesio-essential-vitamins.html,cache_images_v6\normalized\736.jpg,1414,2000,109.6,ok,
731,https://naturalbe.com.co/producto/citrato-magnesio-mgpro-polvo.html,cache_images_v6\normalized\731.jpg,1584,2048,113.9,ok,
MN-CORALCALCIUM-60,https://naturalbe.com.co/producto/coral-calcium-1000mg-vitamin-d-60-softgels.html,cache_images_v6\normalized\MN-CORALCALCIUM-60.jpg,800,800,57.4,review,low_width
728,https://naturalbe.com.co/producto/calcio-essential-magnesio-fosforo-vainilla.html,cache_images_v6\normalized\728.jpg,1080,1080,103.3,ok,
FM-212050077,https://naturalbe.com.co/producto/alimento-en-polvo-nutren-senior-nestle-sin-sabor-lata-x-370-gr.html,cache_images_v6\normalized\FM-212050077.jpg,360,360,30.1,review,low_width;low_height
SATI-MAGPOT-60,https://naturalbe.com.co/producto/magnesio-potasio-satibo-60-capsulas.html,cache_images_v6\normalized\SATI-MAGPOT-60.jpg,1080,1080,108.1,ok,
SATI-MAGCIT-60,https://naturalbe.com.co/producto/magnesio-citrato-satibo-60-capsulas.html,cache_images_v6\normalized\SATI-MAGCIT-60.jpg,1080,1080,101.4,ok,
FM-212050069,https://naturalbe.com.co/producto/alimento-en-polvo-nutren-senior-nestle-sabor-a-vainilla-lata-x-370-gr.html,cache_images_v6\normalized\FM-212050069.jpg,360,360,30.1,review,low_width;low_height
FM-238900201,https://naturalbe.com.co/producto/alimento-en-polvo-nutren-senior-sabor-vainilla-lata-x-740-gr.html,cache_images_v6\normalized\FM-238900201.jpg,360,360,30.1,review,low_width;low_height
FM-224700250,https://naturalbe.com.co/producto/complemento-nutricional-pediasure-peptigro-vainilla-polvo-x-400-gr.html,cache_images_v6\normalized\FM-224700250.jpg,360,360,31.0,review,low_width;low_height
FM-224700241,https://naturalbe.com.co/producto/complemento-nutricional-pediasure-peptigro-vainilla-polvo-x-850-gr.html,cache_images_v6\normalized\FM-224700241.jpg,360,360,31.0,review,low_width;low_height
